HKG,KOJ,2019-01-07,2019-01-14
HKG,KOJ,2019-01-08,2019-01-15
HKG,KOJ,2019-01-09,2019-01-16
HKG,KOJ,2019-01-10,2019-01-17
HKG,KOJ,2019-01-11,2019-01-18
HKG,KOJ,2019-01-12,2019-01-19
HKG,KOJ,2019-01-13,2019-01-20
HKG,KOJ,2019-01-14,2019-01-21
HKG,KOJ,2019-01-15,2019-01-22
HKG,KOJ,2019-01-16,2019-01-23
HKG,KOJ,2019-01-17,2019-01-24
HKG,KOJ,2019-01-18,2019-01-25
HKG,KOJ,2019-01-19,2019-01-26
HKG,KOJ,2019-01-20,2019-01-27
HKG,KOJ,2019-01-21,2019-01-28
HKG,KOJ,2019-01-22,2019-01-29
HKG,KOJ,2019-01-23,2019-01-30
HKG,KOJ,2019-01-24,2019-01-31
HKG,KOJ,2019-01-25,2019-02-01
HKG,KMJ,2018-12-27,2019-01-03
HKG,KMJ,2018-12-28,2019-01-04
HKG,KMJ,2018-12-29,2019-01-05
HKG,KMJ,2018-12-30,2019-01-06
HKG,KMJ,2018-12-31,2019-01-07
HKG,KMJ,2019-01-01,2019-01-08
HKG,KMJ,2019-01-02,2019-01-09
HKG,KMJ,2019-01-03,2019-01-10
HKG,KMJ,2019-01-04,2019-01-11
HKG,KMJ,2019-01-05,2019-01-12
HKG,KMJ,2019-01-06,2019-01-13
HKG,KMJ,2019-01-07,2019-01-14
HKG,KMJ,2019-01-08,2019-01-15
HKG,KMJ,2019-01-09,2019-01-16
HKG,KMJ,2019-01-10,2019-01-17
HKG,KMJ,2019-01-11,2019-01-18
HKG,KMJ,2019-01-12,2019-01-19
HKG,KMJ,2019-01-13,2019-01-20
HKG,KMJ,2019-01-14,2019-01-21
HKG,KMJ,2019-01-15,2019-01-22
HKG,KMJ,2019-01-16,2019-01-23
HKG,KMJ,2019-01-17,2019-01-24
HKG,KMJ,2019-01-18,2019-01-25
HKG,KMJ,2019-01-19,2019-01-26
HKG,KMJ,2019-01-20,2019-01-27
HKG,KMJ,2019-01-21,2019-01-28
HKG,KMJ,2019-01-22,2019-01-29
HKG,KMJ,2019-01-23,2019-01-30
HKG,KMJ,2019-01-24,2019-01-31
HKG,KMJ,2019-01-25,2019-02-01
HKG,NGS,2018-12-27,2019-01-03
HKG,NGS,2018-12-28,2019-01-04
HKG,NGS,2018-12-29,2019-01-05
HKG,NGS,2018-12-30,2019-01-06
HKG,NGS,2018-12-31,2019-01-07
HKG,NGS,2019-01-01,2019-01-08
HKG,NGS,2019-01-02,2019-01-09
HKG,NGS,2019-01-03,2019-01-10
HKG,NGS,2019-01-04,2019-01-11
HKG,NGS,2019-01-05,2019-01-12
HKG,NGS,2019-01-06,2019-01-13
HKG,NGS,2019-01-07,2019-01-14
HKG,NGS,2019-01-08,2019-01-15
HKG,NGS,2019-01-09,2019-01-16
HKG,NGS,2019-01-10,2019-01-17
HKG,NGS,2019-01-11,2019-01-18
HKG,NGS,2019-01-12,2019-01-19
HKG,NGS,2019-01-13,2019-01-20
HKG,NGS,2019-01-14,2019-01-21
HKG,NGS,2019-01-15,2019-01-22
HKG,NGS,2019-01-16,2019-01-23
HKG,NGS,2019-01-17,2019-01-24
HKG,NGS,2019-01-18,2019-01-25
HKG,NGS,2019-01-19,2019-01-26
HKG,NGS,2019-01-20,2019-01-27
HKG,NGS,2019-01-21,2019-01-28
HKG,NGS,2019-01-22,2019-01-29
HKG,NGS,2019-01-23,2019-01-30
HKG,NGS,2019-01-24,2019-01-31
HKG,NGS,2019-01-25,2019-02-01
HKG,NGO,2018-12-27,2019-01-03
HKG,NGO,2018-12-28,2019-01-04
HKG,NGO,2018-12-29,2019-01-05
HKG,NGO,2018-12-30,2019-01-06
HKG,NGO,2018-12-31,2019-01-07
HKG,NGO,2019-01-01,2019-01-08
HKG,NGO,2019-01-02,2019-01-09
HKG,NGO,2019-01-03,2019-01-10
HKG,NGO,2019-01-04,2019-01-11
HKG,NGO,2019-01-05,2019-01-12
HKG,NGO,2019-01-06,2019-01-13
HKG,NGO,2019-01-07,2019-01-14
HKG,NGO,2019-01-08,2019-01-15
HKG,NGO,2019-01-09,2019-01-16
HKG,NGO,2019-01-10,2019-01-17
HKG,NGO,2019-01-11,2019-01-18
HKG,NGO,2019-01-12,2019-01-19
HKG,NGO,2019-01-13,2019-01-20
HKG,NGO,2019-01-14,2019-01-21
HKG,NGO,2019-01-15,2019-01-22
HKG,NGO,2019-01-16,2019-01-23
HKG,NGO,2019-01-17,2019-01-24
